year,emissions_mtco2,sector,yoy_change_mtco2,yoy_change_pct
1910,144.094,Oil,9.73599999999999,0.07246312091576229
1910,2.347,Other industry,0.0,0.0
1911,7.258,Cement,0.17499999999999982,0.0247070450374135
1911,2909.144,Coal,37.309999999999945,0.012991697988114894
1911,25.718,Gas,0.8030000000000008,0.03222958057395147
1911,152.815,Oil,8.721000000000004,0.0605229919358197
1911,2.274,Other industry,-0.07299999999999995,-0.031103536429484428
1912,7.629,Cement,0.37099999999999955,0.051116009920088114
1912,3058.476,Coal,149.33200000000033,0.05133193819212811
1912,28.315,Gas,2.5970000000000013,0.10097985846488845
1912,157.161,Oil,4.346000000000004,0.028439616529790948
1912,2.347,Other industry,0.07299999999999995,0.03210202286719435
1913,8.516,Cement,0.8870000000000005,0.11626687639271209
1913,3302.354,Coal,243.8779999999997,0.07973840566347412
1913,29.598,Gas,1.2829999999999977,0.04531167225852013
1913,181.957,Oil,24.795999999999992,0.15777451148821903
1913,2.421,Other industry,0.07399999999999984,0.03152961227098417
1914,8.111,Cement,-0.40499999999999936,-0.047557538750587054
1914,2971.226,Coal,-331.1279999999997,-0.10027029204016279
1914,30.136,Gas,0.5380000000000003,0.018176903844854393
1914,186.003,Oil,4.045999999999992,0.022236022796594757
1914,2.274,Other industry,-0.1469999999999998,-0.060718711276332014
1915,7.915,Cement,-0.19600000000000062,-0.024164714585131378
1915,2908.266,Coal,-62.960000000000036,-0.02118990611956143
1915,31.866,Gas,1.7300000000000004,0.057406424210246894
1915,197.563,Oil,11.560000000000002,0.06214953522255019
1915,2.421,Other industry,0.1469999999999998,0.06464379947229543
1916,8.441,Cement,0.5260000000000007,0.06645609602021486
1916,3135.505,Coal,227.23900000000003,0.07813556256545998
1916,38.377,Gas,6.511000000000003,0.2043243582501727
1916,215.195,Oil,17.632000000000005,0.08924748055050798
1916,2.714,Other industry,0.29300000000000015,0.12102437009500214
1917,8.509,Cement,0.06799999999999962,0.00805591754531449
1917,3265.622,Coal,130.11699999999973,0.041497940523137336
1917,40.509,Gas,2.131999999999998,0.05555410792922839
1917,239.365,Oil,24.170000000000016,0.11231673598364282
1917,2.494,Other industry,-0.21999999999999975,-0.0810611643330876
1918,6.519,Cement,-1.9900000000000002,-0.23387001997884593
1918,3215.897,Coal,-49.72499999999991,-0.015226808246637214
1918,36.519,Gas,-3.990000000000002,-0.09849663037843447
1918,245.023,Oil,5.657999999999987,0.023637540993879585
1918,2.127,Other industry,-0.36700000000000044,-0.14715316760224556
1919,7.399,Cement,0.8799999999999999,0.13499002914557445
1919,2720.155,Coal,-495.74199999999973,-0.15415356897313556
1919,37.948,Gas,1.429000000000002,0.03913031572606047
1919,273.411,Oil,28.388000000000005,0.11585851124180181
